,id,NN1,NN2,NN3,NU1,NU2,NU3,UN1,UN2,UN3,UU1,UU2,UU3,V41,median,meth
1,Scaffold1.1542140.1542140,4.166666667,0,37.73584906,21.42857143,50,12.5,40,8.333333333,63.23529412,36.50793651,29.16666667,30,SPU_002012,29.58333333,TRUE
2,Scaffold1.1542149.1542149,16.66666667,35,47.16981132,29.26829268,58.62068966,16.07142857,44.23076923,41.66666667,56.92307692,36.50793651,42.22222222,53.33333333,SPU_002012,41.94444444,TRUE
3,Scaffold1.1542174.1542174,4.347826087,47.5,48,42.85714286,65.51724138,23.21428571,56.66666667,54.16666667,72.05882353,53.22580645,58.33333333,60,SPU_002012,53.69623656,TRUE
4,Scaffold1.2019821.2019821,100,100,100,96.46017699,92.13483146,91.74311927,100,100,92,90.2173913,100,100,SPU_020944,100,TRUE
5,Scaffold1.2019831.2019831,95.71428571,100,100,92.92035398,87.64044944,90.82568807,100,100,100,100,91.42857143,97.14285714,SPU_020944,98.57142857,TRUE
6,Scaffold1.2019857.2019857,100,100,100,92.92035398,92.13483146,100,100,100,100,94.56521739,98.57142857,95.71428571,SPU_020944,100,TRUE
7,Scaffold1.2019916.2019916,95.71428571,100,94.44444444,90.26548673,95.50561798,100,91.22807018,100,100,90.2173913,98.57142857,83.82352941,SPU_020944,95.60995185,TRUE
8,Scaffold1.501355.501355,3.875968992,1.941747573,0,0,3.448275862,10.41666667,19.51219512,17.64705882,11.49425287,2.702702703,8.928571429,12.82051282,SPU_025459,6.40227021,TRUE
9,Scaffold10.1696184.1696184,0,0,0,0,8.695652174,0,0,0,0,11.76470588,5.263157895,0,SPU_016847,0,FALSE
10,Scaffold10.1696190.1696190,8.695652174,0,0,0,0,0,0,0,0,0,0,0,SPU_016847,0,FALSE
11,Scaffold10.1910382.1910382,0,15,0,5.633802817,0,6.818181818,0,5.555555556,4.938271605,6.666666667,11.36363636,10.34482759,SPU_011202,5.594679186,TRUE
12,Scaffold10.1910390.1910390,4.347826087,0,0,0,5.263157895,0,0,0,0,0,0,0,SPU_011202,0,FALSE
13,Scaffold10.1910392.1910392,0,0,0,1.408450704,3.50877193,0,0,0,0,0,0,0,SPU_011202,0,FALSE
14,Scaffold10.1910414.1910414,0,0,0,0,1.754385965,0,0,0,0,1.315789474,0,0,SPU_011202,0,FALSE
15,Scaffold10.1910447.1910447,0,0,0,0,0,0,0,0,0,0,0,31.03448276,SPU_011202,0,FALSE
16,Scaffold10.1910460.1910460,0,0,0,0,7.01754386,0,0,0,0,0,0,0,SPU_011202,0,FALSE
17,Scaffold10.2039747.2039747,0,0,5.263157895,0,0,0,0,0,13.79310345,2.564102564,4.761904762,0,SPU_011197,0,FALSE
18,Scaffold10.2039772.2039772,0,0,0,18.18181818,9.523809524,5.263157895,9.090909091,0,17.64705882,3.703703704,5.555555556,0,SPU_011197,4.483430799,TRUE
19,Scaffold10.2039773.2039773,16.21621622,0,10.52631579,18.36734694,18.18181818,17.5,14.28571429,21.875,0,0,11.9047619,10.81081081,SPU_011197,13.0952381,TRUE
20,Scaffold10.2039780.2039780,0,0,0,4.545454545,0,0,0,0,0,0,0,0,SPU_011197,0,FALSE
21,Scaffold10.2039820.2039820,15,0,0,0,0,0,0,0,0,0,0,0,SPU_011197,0,FALSE
22,Scaffold10.2039821.2039821,0,0,0,0,0,0,0,10.25641026,0,0,0,0,SPU_011197,0,FALSE
23,Scaffold10.2165894.2165894,0,0,0,0,0,0,9.090909091,0,0,0,3.448275862,0,SPU_019317,0,FALSE
24,Scaffold10.2165912.2165912,0,0,0,0,0,0,0,28.57142857,0,0,0,0,SPU_019317,0,FALSE
25,Scaffold10.2165917.2165917,0,0,0,0,0,0,0,0,0,0,0,0,SPU_019317,0,FALSE
26,Scaffold10.2165952.2165952,0,0,0,0,6,18.36734694,9.090909091,0,0,0,3.448275862,0,SPU_019317,0,FALSE
27,Scaffold10.318010.318010,0,0,0,5,7.692307692,0,0,0,0,5.128205128,0,0,SPU_020395,0,FALSE
28,Scaffold10.715714.715714,0,0,0,0,0,0,12.5,0,0,0,4.761904762,10,SPU_020073,0,FALSE
29,Scaffold10.715749.715749,0,0,0,0,0,0,0,0,0,2.43902439,0,0,SPU_020073,0,FALSE
30,Scaffold10.715775.715775,0,0,0,0,0,0,0,0,0,0,2.564102564,9.090909091,SPU_020073,0,FALSE
31,Scaffold10.715786.715786,0,0,1.492537313,7.575757576,0,0,0,16.98113208,0,3.125,0,0,SPU_020073,0,FALSE
32,Scaffold10.715789.715789,2.380952381,0,0,7.575757576,5.970149254,0,0,0,0,0,0,0,SPU_020073,0,FALSE
33,Scaffold10.715811.715811,0,0,20.89552239,0,1.470588235,0,0,0,0,3.125,0,0,SPU_020073,0,FALSE
34,Scaffold10.715821.715821,0,0,0,0,0,0,0,0,0,12.5,0,0,SPU_020073,0,FALSE
35,Scaffold10.715875.715875,0,13.79310345,0,20,8.823529412,0,9.803921569,0,0,15.625,5.194805195,0,SPU_020073,2.597402597,TRUE
36,Scaffold10.719615.719615,33.33333333,16,15.78947368,13.95348837,14.81481481,13.20754717,11.53846154,9.090909091,2.941176471,5.405405405,17.64705882,3.571428571,SPU_020054,13.58051777,TRUE
37,Scaffold10.719635.719635,0,0,0,0,0,0,0,4.545454545,0,0,0,0,SPU_020054,0,FALSE
38,Scaffold10.719636.719636,0,0,0,0,0,1.449275362,0,1.818181818,0,1.639344262,1.639344262,6.451612903,SPU_020054,0,FALSE
39,Scaffold10.719657.719657,0,0,2.631578947,0,0,5.555555556,0,0,0,0,0,0,SPU_020054,0,FALSE
40,Scaffold10.719658.719658,1.754385965,0,0,0,0,0,0,1.818181818,0,3.278688525,0,3.225806452,SPU_020054,0,FALSE
41,Scaffold10.719692.719692,9.090909091,6.666666667,3.50877193,16.09195402,8.536585366,4.347826087,12.76595745,3.703703704,14.28571429,4.918032787,8.196721311,9.677419355,SPU_020054,8.366653339,TRUE
42,Scaffold10.839990.839990,0,0,0,2.702702703,0,10.58823529,2.127659574,0,0,0,8.988764045,0,SPU_020057,0,FALSE
43,Scaffold10.839992.839992,0,0,0,0,0,0,0,0,0,0,2.247191011,5.405405405,SPU_020057,0,FALSE
44,Scaffold10.839998.839998,0,0,0,0,0,0,2.127659574,0,0,0,11.9047619,0,SPU_020057,0,FALSE
45,Scaffold10.840024.840024,0,0,0,0,7.407407407,0,0,0,0,0,0,0,SPU_020057,0,FALSE
46,Scaffold10.840064.840064,0,0,0,0,0,0,0,0,0,0,12.04819277,0,SPU_020057,0,FALSE
47,Scaffold10.840068.840068,0,9.677419355,0,7.272727273,7.407407407,0,4.255319149,19.23076923,0,7.272727273,5.952380952,2.702702703,SPU_020057,5.103850051,TRUE
48,Scaffold10.974400.974400,71.15384615,69.84126984,80.95238095,69.35483871,74.11764706,60.97560976,84.12698413,80.64516129,90.625,68.68686869,79.34782609,80.70175439,SPU_020059,76.73273657,TRUE
49,Scaffold10.974422.974422,61.53846154,71.42857143,78.57142857,67.74193548,64.70588235,54.87804878,79.36507937,80.64516129,87.5,68.68686869,73.91304348,75.43859649,SPU_020059,72.67080745,TRUE
50,Scaffold10.974434.974434,51.92307692,69.84126984,78.57142857,70.96774194,62.35294118,52.43902439,74.6031746,70.96774194,87.5,69.6969697,78.26086957,73.68421053,SPU_020059,70.96774194,TRUE
51,Scaffold100.201922.201922,4.987531172,2.63653484,4.114490161,10.92307692,7.679738562,5.576208178,7.541899441,4.852686308,3.676470588,8.166969147,6.339468303,5.846153846,SPU_021229,5.711181012,TRUE
52,Scaffold100.346763.346763,0,0,0,6.25,0,0,0,0,0,0,0,0,SPU_006668,0,FALSE
53,Scaffold100.346799.346799,0,50,16.66666667,20.40816327,20.93023256,0,2.941176471,0,5.882352941,42.42424242,36.95652174,0,SPU_006668,11.2745098,TRUE
54,Scaffold100.969982.969982,0,0,0,0,0,0,0,0,0,0,0,0,SPU_022042,0,FALSE
55,Scaffold100.970005.970005,0,0,0,0,0,0,0,0,0,0,0,0,SPU_022042,0,FALSE
56,Scaffold1002.139878.139878,100,91.89189189,83.33333333,100,100,75.86206897,100,95.91836735,87.03703704,96.49122807,100,90,SPU_021512,96.20479771,TRUE
57,Scaffold1002.140015.140015,100,100,94.50549451,92.56198347,98.48484848,94.69026549,94.44444444,79.16666667,93.91304348,100,95.23809524,98.30508475,SPU_021512,94.96418036,TRUE
58,Scaffold1004.52295.52295,0,15.78947368,0,0,0,0,0,0,0,0,0,0,SPU_006095,0,FALSE
59,Scaffold1004.52308.52308,0,0,0,0,0,0,0,0,0,0,0,0,SPU_006095,0,FALSE
60,Scaffold1004.52371.52371,24.13793103,0,0,15.78947368,0,0,8.333333333,15.625,0,0,10,0,SPU_006095,0,FALSE
61,Scaffold1007.137573.137573,0,1.25,0,8,6.52173913,4.716981132,8.391608392,3.726708075,3.684210526,8.522727273,6.40569395,4.347826087,SPU_025107,4.53240361,TRUE
62,Scaffold1007.137596.137596,6.930693069,0,0,0,0,0,0,1.226993865,0,0,0.709219858,6.956521739,SPU_025107,0,FALSE
63,Scaffold1007.137614.137614,2.941176471,0,1.19047619,0,2.173913043,0,0,1.212121212,0,0,0.709219858,0,SPU_025107,0,FALSE
64,Scaffold1009.40431.40431,80.85106383,81.51950719,85.42857143,83.88998035,88.14531549,88.32997988,85.19855596,82.37288136,80.42704626,87.33850129,89.68253968,87.77777778,SPU_009208,85.31356369,TRUE
65,Scaffold101.136509.136509,0,0,25,25,8.333333333,12.5,14.28571429,13.04347826,0,10.71428571,3.571428571,5.882352941,SPU_014742,9.523809524,TRUE
66,Scaffold101.136546.136546,0,0,5,0,5.405405405,0,0,0,0,3.571428571,0,0,SPU_014742,0,FALSE
67,Scaffold101.136572.136572,0,0,0,0,0,0,0,0,0,0,0,0,SPU_014742,0,FALSE
68,Scaffold101.136577.136577,0,22.72727273,0,0,5.128205128,0,23.80952381,23.07692308,0,10.52631579,0,0,SPU_014742,0,FALSE
69,Scaffold101.136589.136589,17.85714286,0,0,4.545454545,0,18.75,0,0,0,0,0,0,SPU_014742,0,FALSE
70,Scaffold101.136601.136601,0,0,0,0,0,0,0,0,0,0,0,0,SPU_014742,0,FALSE
71,Scaffold101.136603.136603,0,0,0,0,0,0,0,0,0,0,0,0,SPU_014742,0,FALSE
72,Scaffold101.136621.136621,0,0,0,0,0,0,0,0,0,10.52631579,0,0,SPU_014742,0,FALSE
73,Scaffold101.136632.136632,0,0,0,0,0,0,0,0,0,0,0,0,SPU_014742,0,FALSE
74,Scaffold101.136638.136638,0,0,0,0,0,0,0,0,0,0,0,0,SPU_014742,0,FALSE
75,Scaffold101.136652.136652,0,0,0,0,0,0,0,0,0,0,0,0,SPU_014742,0,FALSE
76,Scaffold101.136760.136760,0,0,7.692307692,0,0,1.886792453,0,0,0,0,0,6.976744186,SPU_014742,0,FALSE
77,Scaffold101.136764.136764,0,0,0,0,0,0,0,0,0,0,0,9.302325581,SPU_014742,0,FALSE
78,Scaffold101.136771.136771,0,0,0,0,0,0,0,0,0,0,3.529411765,0,SPU_014742,0,FALSE
79,Scaffold101.136799.136799,12.76595745,0,0,0,6.451612903,3.846153846,10.52631579,0,0,6.451612903,15.29411765,18.60465116,SPU_014742,5.148883375,TRUE
80,Scaffold101.137019.137019,3.50877193,0,0,3.738317757,7.766990291,0,0,0,0,2.362204724,0,0,SPU_014742,0,FALSE
81,Scaffold101.137087.137087,0,0,17.39130435,3.389830508,1.923076923,0,5.681818182,12,14.28571429,4.838709677,6.870229008,8.035714286,SPU_014742,5.26026393,TRUE
82,Scaffold101.159861.159861,96.55172414,100,82.75862069,100,100,100,89.13043478,100,100,84.44444444,95.91836735,94.11764706,SPU_014746,98.27586207,TRUE
83,Scaffold101.159909.159909,100,100,100,100,89.36170213,96.15384615,100,76.19047619,100,82.22222222,91.83673469,100,SPU_014746,100,TRUE
84,Scaffold101.159919.159919,100,100,100,90.19607843,89.36170213,92.30769231,100,76.19047619,100,100,100,100,SPU_014746,100,TRUE
85,Scaffold1010.28971.28971,0,0,0,0,5.882352941,0,0,14.28571429,0,0,4.347826087,0,SPU_027288,0,FALSE
